producto,serial ,activo,Anillo retenedor,,,
TUBO,EBS-4206-DJ-SS-10-1,PCT-PUP-0447,NO,,,
TUBO,EBS-4206-DJ-SS-10-10,PCT-PUP-0454,NO,,,
TUBO,EBS-4206-DJ-SS-10-2,PCT-PUP-0448,NO,,,
TUBO,EBS-4206-DJ-SS-10-3,PCT-PUP-0449,NO,,,
TUBO,EBS-4206-DJ-SS-10-4,PCT-PUP-0450,NO,,,
TUBO,EBS-4206-DJ-SS-10-5,PCT-PUP-0451,NO,,,
TUBO,EBS-4206-DJ-SS-10-6,PCT-PUP-0452,NO,,,
TUBO,EBS-4206-DJ-SS-10-7,PCT-PUP-0453,NO,,,
TUBO,EBS-4206-DJ-SS-1-1/5,PCT-PUP-0487,NO,,,
TUBO,EBS-4206-DJ-SS-1-2,PCT-PUP-0488,NO,,,
TUBO,EBS-4206-DJ-SS-1-3,PCT-PUP-0489,NO,,,
TUBO,EBS-4206-DJ-SS-1-4,PCT-PUP-0490,NO,,,
TUBO,EBS-4206-DJ-SS-1-6,PCT-PUP-0491,NO,,,
TUBO,EBS-4206-DJ-SS-1-7,PCT-PUP-0492,NO,,,
TUBO,EBS-4206-DJ-SS-1-8,PCT-PUP-0493,NO,,,
TUBO,EBS-4206-DJ-SS-2-1,PCT-PUP-0479,NO,,,
TUBO,EBS-4206-DJ-SS-2-2,PCT-PUP-0480,NO,,,
TUBO,EBS-4206-DJ-SS-2-3,PCT-PUP-0481,NO,,,
TUBO,EBS-4206-DJ-SS-2-4,PCT-PUP-0482,NO,,,
TUBO,EBS-4206-DJ-SS-2-5,PCT-PUP-0483,NO,,,
TUBO,EBS-4206-DJ-SS-2-6,PCT-PUP-0484,NO,,,
TUBO,EBS-4206-DJ-SS-2-7,PCT-PUP-0485,NO,,,
TUBO,EBS-4206-DJ-SS-2-8,PCT-PUP-0486,NO,,,
TUBO,EBS-4206-DJ-SS-3-1,PCT-PUP-0471,NO,,,
TUBO,EBS-4206-DJ-SS-3-2,PCT-PUP-0472,NO,,,
TUBO,EBS-4206-DJ-SS-3-3,PCT-PUP-0473,NO,,,
TUBO,EBS-4206-DJ-SS-3-4,PCT-PUP-0474,NO,,,
TUBO,EBS-4206-DJ-SS-3-5,PCT-PUP-0475,NO,,,
TUBO,EBS-4206-DJ-SS-3-6,PCT-PUP-0476,NO,,,
TUBO,EBS-4206-DJ-SS-3-7,PCT-PUP-0477,NO,,,
TUBO,EBS-4206-DJ-SS-3-8,PCT-PUP-0478,NO,,,
TUBO,EBS-4206-DJ-SS-4-1,PCT-PUP-0463,NO,,,
TUBO,EBS-4206-DJ-SS-4-2,PCT-PUP-0464,NO,,,
TUBO,EBS-4206-DJ-SS-4-3,PCT-PUP-0465,NO,,,
TUBO,EBS-4206-DJ-SS-4-4,PCT-PUP-0466,NO,,,
TUBO,EBS-4206-DJ-SS-4-5,PCT-PUP-0467,NO,,,
TUBO,EBS-4206-DJ-SS-4-6,PCT-PUP-0468,NO,,,
TUBO,EBS-4206-DJ-SS-4-7,PCT-PUP-0469,NO,,,
TUBO,EBS-4206-DJ-SS-4-8,PCT-PUP-0470,NO,,,
TUBO,EBS-4206-DJ-SS-5-1,PCT-PUP-0455,NO,,,
TUBO,EBS-4206-DJ-SS-5-2,PCT-PUP-0456,NO,,,
TUBO,EBS-4206-DJ-SS-5-3,PCT-PUP-0457,NO,,,
TUBO,EBS-4206-DJ-SS-5-4,PCT-PUP-0458,NO,,,
TUBO,EBS-4206-DJ-SS-5-5,PCT-PUP-0459,NO,,,
TUBO,EBS-4206-DJ-SS-5-6,PCT-PUP-0460,NO,,,
TUBO,EBS-4206-DJ-SS-5-7,PCT-PUP-0461,NO,,,
TUBO,EBS-4206-DJ-SS-5-8,PCT-PUP-0462,NO,,,
TUBO,PCT-23-4206-10-001,PCT-PUP-0001,NO,,,
TUBO,PCT-23-4206-10-002,PCT-PUP-0002,NO,,,
TUBO,PCT-23-4206-10-003,PCT-PUP-0003,NO,,,
TUBO,PCT-23-4206-10-004,PCT-PUP-0004,NO,,,
TUBO,PCT-23-4206-10-005,PCT-PUP-0005,NO,,,
TUBO,PCT-23-4206-10-006,PCT-PUP-0006,NO,,,
TUBO,PCT-23-4206-10-007,PCT-PUP-0007,NO,,,
TUBO,PCT-23-4206-10-008,PCT-PUP-0008,NO,,,
TUBO,PCT-23-4206-10-009,PCT-PUP-0009,NO,,,
TUBO,PCT-23-4206-10-010,PCT-PUP-0010,NO,,,
TUBO,PCT-23-4206-10-011,PCT-PUP-0011,NO,,,
TUBO,PCT-23-4206-10-012,PCT-PUP-0012,NO,,,
TUBO,PCT-23-4206-10-013,PCT-PUP-0013,NO,,,
TUBO,PCT-23-4206-10-014,PCT-PUP-0014,NO,,,
TUBO,PCT-23-4206-10-015,PCT-PUP-0015,NO,,,
TUBO,PCT-23-4206-10-016,PCT-PUP-0016,NO,,,
TUBO,PCT-23-4206-10-017,PCT-PUP-0017,NO,,,
TUBO,PCT-23-4206-10-018,PCT-PUP-0018,NO,,,
TUBO,PCT-23-4206-10-019,PCT-PUP-0019,NO,,,
TUBO,PCT-23-4206-10-020,PCT-PUP-0020,NO,,,
TUBO,PCT-23-4206-10-021,PCT-PUP-0021,NO,,,
TUBO,PCT-23-4206-10-022,PCT-PUP-0022,NO,,,
TUBO,PCT-23-4206-10-023,PCT-PUP-0023,NO,,,
TUBO,PCT-23-4206-10-024,PCT-PUP-0024,NO,,,
TUBO,PCT-23-4206-10-025,PCT-PUP-0025,NO,,,
TUBO,PCT-23-4206-10-026,PCT-PUP-0026,NO,,,
TUBO,PCT-23-4206-10-027,PCT-PUP-0027,NO,,,
TUBO,PCT-23-4206-10-028,PCT-PUP-0028,NO,,,
TUBO,PCT-23-4206-10-029,PCT-PUP-0029,NO,,,
TUBO,PCT-23-4206-10-030,PCT-PUP-0030,NO,,,
TUBO,PCT-23-4206-18-001,PCT-PUP-0041,NO,,,
TUBO,PCT-23-4206-18-002,PCT-PUP-0042,NO,,,
TUBO,PCT-23-4206-18-003,PCT-PUP-0043,NO,,,
TUBO,PCT-23-4206-18-004,PCT-PUP-0044,NO,,,
TUBO,PCT-23-4206-18-005,PCT-PUP-0045,NO,,,
TUBO,PCT-23-4206-18-006,PCT-PUP-0046,NO,,,
TUBO,PCT-23-4206-18-007,PCT-PUP-0047,NO,,,
TUBO,PCT-23-4206-18-008,PCT-PUP-0048,NO,,,
TUBO,PCT-24-4206-10-001,PCT-PUP-0031,NO,,,
TUBO,PCT-24-4206-10-001BIS,PCT-PUP-0407,SI,,,
TUBO,PCT-24-4206-10-002,PCT-PUP-0032,NO,,,
TUBO,PCT-24-4206-10-002BIS,PCT-PUP-0408,SI,,,
TUBO,PCT-24-4206-10-003,PCT-PUP-0033,NO,,,
TUBO,PCT-24-4206-10-003BIS,PCT-PUP-0409,SI,,,
TUBO,PCT-24-4206-10-004,PCT-PUP-0034,NO,,,
TUBO,PCT-24-4206-10-004BIS,PCT-PUP-0410,SI,,,
TUBO,PCT-24-4206-10-005,PCT-PUP-0035,NO,,,
TUBO,PCT-24-4206-10-005BIS,PCT-PUP-0411,SI,,,
TUBO,PCT-24-4206-10-006,PCT-PUP-0036,NO,,,
TUBO,PCT-24-4206-10-006BIS,PCT-PUP-0412,SI,,,
TUBO,PCT-24-4206-10-007,PCT-PUP-0037,NO,,,
TUBO,PCT-24-4206-10-007BIS,PCT-PUP-0413,SI,,,
TUBO,PCT-24-4206-10-008,PCT-PUP-0038,NO,,,
TUBO,PCT-24-4206-10-008BIS,PCT-PUP-0414,SI,,,
TUBO,PCT-24-4206-10-009,PCT-PUP-0039,NO,,,
TUBO,PCT-24-4206-10-009BIS,PCT-PUP-0415,SI,,,
TUBO,PCT-24-4206-10-010,PCT-PUP-0040,NO,,,
TUBO,PCT-24-4206-10-010BIS,PCT-PUP-0416,SI,,,
TUBO,PCT-24-4206-10-011,PCT-PUP-0417,SI,,,
TUBO,PCT-24-4206-10-012,PCT-PUP-0418,SI,,,
TUBO,PCT-24-4206-10-013,PCT-PUP-0419,SI,,,
TUBO,PCT-24-4206-10-014,PCT-PUP-0420,SI,,,
TUBO,PCT-24-4206-10-015,PCT-PUP-0421,SI,,,
TUBO,PCT-24-4206-10-016,PCT-PUP-0422,SI,,,
TUBO,PCT-24-4206-10-017,PCT-PUP-0423,SI,,,
TUBO,PCT-24-4206-10-018,PCT-PUP-0424,SI,,,
TUBO,PCT-24-4206-10-019,PCT-PUP-0425,SI,,,
TUBO,PCT-24-4206-10-020,PCT-PUP-0426,SI,,,
TUBO,PCT-24-4206-10-021,PCT-PUP-0427,SI,,,
TUBO,PCT-24-4206-10-022,PCT-PUP-0428,SI,,,
TUBO,PCT-24-4206-10-023,PCT-PUP-0429,SI,,,
TUBO,PCT-24-4206-10-024,PCT-PUP-0430,SI,,,
TUBO,PCT-24-4206-10-025,PCT-PUP-0431,SI,,,
TUBO,PCT-24-4206-10-026,PCT-PUP-0432,SI,,,
TUBO,PCT-24-4206-10-027,PCT-PUP-0433,SI,,,
TUBO,PCT-24-4206-10-028,PCT-PUP-0434,SI,,,
TUBO,PCT-24-4206-10-029,PCT-PUP-0435,SI,,,
TUBO,PCT-24-4206-10-030,PCT-PUP-0436,SI,,,
TUBO,PCT-24-4206-10-031,PCT-PUP-0437,SI,,,
TUBO,PCT-24-4206-10-032,PCT-PUP-0438,SI,,,
TUBO,PCT-24-4206-10-033,PCT-PUP-0439,SI,,,
TUBO,PCT-24-4206-10-034,PCT-PUP-0440,SI,,,
TUBO,PCT-24-4206-10-035,PCT-PUP-0441,SI,,,
TUBO,PCT-24-4206-10-036,PCT-PUP-0442,SI,,,
TUBO,PCT-24-4206-10-037,PCT-PUP-0443,SI,,,
TUBO,PCT-24-4206-10-038,PCT-PUP-0444,SI,,,
TUBO,PCT-24-4206-10-039,PCT-PUP-0445,SI,,,
TUBO,PCT-24-4206-10-040,PCT-PUP-0446,SI,,,
TUBO,PCT-24-4206-1-001,PCT-PUP-0317,SI,,,
TUBO,PCT-24-4206-1-002,PCT-PUP-0318,SI,,,
TUBO,PCT-24-4206-1-003,PCT-PUP-0319,SI,,,
TUBO,PCT-24-4206-1-004,PCT-PUP-0320,SI,,,
TUBO,PCT-24-4206-1-005,PCT-PUP-0321,SI,,,
TUBO,PCT-24-4206-1-006,PCT-PUP-0322,SI,,,
TUBO,PCT-24-4206-1-007,PCT-PUP-0323,SI,,,
TUBO,PCT-24-4206-1-008,PCT-PUP-0324,SI,,,
TUBO,PCT-24-4206-1-009,PCT-PUP-0325,SI,,,
TUBO,PCT-24-4206-1-010,PCT-PUP-0326,SI,,,
TUBO,PCT-24-4206-1-011,PCT-PUP-0327,SI,,,
TUBO,PCT-24-4206-1-012,PCT-PUP-0328,SI,,,
TUBO,PCT-24-4206-1-013,PCT-PUP-0329,SI,,,
TUBO,PCT-24-4206-1-014,PCT-PUP-0330,SI,,,
TUBO,PCT-24-4206-1-015,PCT-PUP-0331,SI,,,
TUBO,PCT-24-4206-1-016,PCT-PUP-0332,SI,,,
TUBO,PCT-24-4206-1-017,PCT-PUP-0333,SI,,,
TUBO,PCT-24-4206-1-018,PCT-PUP-0334,SI,,,
TUBO,PCT-24-4206-1-019,PCT-PUP-0335,SI,,,
TUBO,PCT-24-4206-1-020,PCT-PUP-0336,SI,,,
TUBO,PCT-24-4206-1-021,PCT-PUP-0337,SI,,,
TUBO,PCT-24-4206-1-022,PCT-PUP-0338,SI,,,
TUBO,PCT-24-4206-1-023,PCT-PUP-0339,SI,,,
TUBO,PCT-24-4206-1-024,PCT-PUP-0340,SI,,,
TUBO,PCT-24-4206-1-025,PCT-PUP-0341,SI,,,
TUBO,PCT-24-4206-1-026,PCT-PUP-0342,SI,,,
TUBO,PCT-24-4206-1-027,PCT-PUP-0343,SI,,,
TUBO,PCT-24-4206-1-028,PCT-PUP-0344,SI,,,
TUBO,PCT-24-4206-1-029,PCT-PUP-0345,SI,,,
TUBO,PCT-24-4206-1-030,PCT-PUP-0346,SI,,,
TUBO,PCT-24-4206-18-001,PCT-PUP-0049,NO,,,
TUBO,PCT-24-4206-18-002,PCT-PUP-0050,NO,,,
TUBO,PCT-24-4206-18-003,PCT-PUP-0051,NO,,,
TUBO,PCT-24-4206-18-004,PCT-PUP-0052,NO,,,
TUBO,PCT-24-4206-18-005,PCT-PUP-0053,NO,,,
TUBO,PCT-24-4206-18-006,PCT-PUP-0054,NO,,,
TUBO,PCT-24-4206-18-007,PCT-PUP-0055,NO,,,
TUBO,PCT-24-4206-18-008,PCT-PUP-0056,NO,,,
TUBO,PCT-24-4206-2-001,PCT-PUP-0347,SI,,,
TUBO,PCT-24-4206-2-002,PCT-PUP-0348,SI,,,
TUBO,PCT-24-4206-2-003,PCT-PUP-0349,SI,,,
TUBO,PCT-24-4206-2-004,PCT-PUP-0350,SI,,,
TUBO,PCT-24-4206-2-005,PCT-PUP-0351,SI,,,
TUBO,PCT-24-4206-2-006,PCT-PUP-0352,SI,,,
TUBO,PCT-24-4206-2-007,PCT-PUP-0353,SI,,,
TUBO,PCT-24-4206-2-008,PCT-PUP-0354,SI,,,
TUBO,PCT-24-4206-2-009,PCT-PUP-0355,SI,,,
TUBO,PCT-24-4206-2-010,PCT-PUP-0356,SI,,,
TUBO,PCT-24-4206-2-011,PCT-PUP-0357,SI,,,
TUBO,PCT-24-4206-2-012,PCT-PUP-0358,SI,,,
TUBO,PCT-24-4206-2-013,PCT-PUP-0359,SI,,,
TUBO,PCT-24-4206-2-014,PCT-PUP-0360,SI,,,
TUBO,PCT-24-4206-2-015,PCT-PUP-0361,SI,,,
TUBO,PCT-24-4206-2-016,PCT-PUP-0362,SI,,,
TUBO,PCT-24-4206-2-017,PCT-PUP-0363,SI,,,
TUBO,PCT-24-4206-2-018,PCT-PUP-0364,SI,,,
TUBO,PCT-24-4206-2-019,PCT-PUP-0365,SI,,,
TUBO,PCT-24-4206-2-020,PCT-PUP-0366,SI,,,
TUBO,PCT-24-4206-2-021,PCT-PUP-0367,SI,,,
TUBO,PCT-24-4206-2-022,PCT-PUP-0368,SI,,,
TUBO,PCT-24-4206-2-023,PCT-PUP-0369,SI,,,
TUBO,PCT-24-4206-2-024,PCT-PUP-0370,SI,,,
TUBO,PCT-24-4206-2-025,PCT-PUP-0371,SI,,,
TUBO,PCT-24-4206-2-026,PCT-PUP-0372,SI,,,
TUBO,PCT-24-4206-2-027,PCT-PUP-0373,SI,,,
TUBO,PCT-24-4206-2-028,PCT-PUP-0374,SI,,,
TUBO,PCT-24-4206-2-029,PCT-PUP-0375,SI,,,
TUBO,PCT-24-4206-2-030,PCT-PUP-0376,SI,,,
TUBO,PCT-24-4206-3-001,PCT-PUP-0377,SI,,,
TUBO,PCT-24-4206-3-002,PCT-PUP-0378,SI,,,
TUBO,PCT-24-4206-3-003,PCT-PUP-0379,SI,,,
TUBO,PCT-24-4206-3-004,PCT-PUP-0380,SI,,,
TUBO,PCT-24-4206-3-005,PCT-PUP-0381,SI,,,
TUBO,PCT-24-4206-3-006,PCT-PUP-0382,SI,,,
TUBO,PCT-24-4206-3-007,PCT-PUP-0383,SI,,,
TUBO,PCT-24-4206-3-008,PCT-PUP-0384,SI,,,
TUBO,PCT-24-4206-3-009,PCT-PUP-0385,SI,,,
TUBO,PCT-24-4206-3-010,PCT-PUP-0386,SI,,,
TUBO,PCT-24-4206-3-011,PCT-PUP-0387,SI,,,
TUBO,PCT-24-4206-3-012,PCT-PUP-0388,SI,,,
TUBO,PCT-24-4206-3-013,PCT-PUP-0389,SI,,,
TUBO,PCT-24-4206-3-014,PCT-PUP-0390,SI,,,
TUBO,PCT-24-4206-3-015,PCT-PUP-0391,SI,,,
TUBO,PCT-24-4206-3-016,PCT-PUP-0392,SI,,,
TUBO,PCT-24-4206-3-017,PCT-PUP-0393,SI,,,
TUBO,PCT-24-4206-3-018,PCT-PUP-0394,SI,,,
TUBO,PCT-24-4206-3-019,PCT-PUP-0395,SI,,,
TUBO,PCT-24-4206-3-020,PCT-PUP-0396,SI,,,
TUBO,PCT-24-4206-3-021,PCT-PUP-0397,SI,,,
TUBO,PCT-24-4206-3-022,PCT-PUP-0398,SI,,,
TUBO,PCT-24-4206-3-023,PCT-PUP-0399,SI,,,
TUBO,PCT-24-4206-3-024,PCT-PUP-0400,SI,,,
TUBO,PCT-24-4206-3-025,PCT-PUP-0401,SI,,,
TUBO,PCT-24-4206-3-026,PCT-PUP-0402,SI,,,
TUBO,PCT-24-4206-3-027,PCT-PUP-0403,SI,,,
TUBO,PCT-24-4206-3-028,PCT-PUP-0404,SI,,,
TUBO,PCT-24-4206-3-029,PCT-PUP-0405,SI,,,
TUBO,PCT-24-4206-3-030,PCT-PUP-0406,SI,,,
TAPA,PCT-24-4206-C-001,PCT-CAP-001,SI,,,
TAPA,PCT-24-4206-C-002,PCT-CAP-002,SI,,,
