Equipo mal escrito,Equipo correcto,Serial
PCT-XO-56,PCT-XO-056,PCT-24-XO-029
PCT-TEE-22,PCT-TEE-022,PCT-23-21502-T2-003
PCT-TEE-13,PCT-TEE-013,PCT-23-21502-T1-001
PCT-TEE-26,PCT-TEE-026,PCT-24-21502-T2-002
PCT-TEE-15,PCT-TEE-015,PCT-23-21502-T1-003
PCT-XO-40,PCT-XO-040,PCT-24-XO-013
PCT-XO-47,PCT-XO-047,PCT-24-XO-020
PCT-XO-49,PCT-XO-049,PCT-24-XO-022
PCT-XO-44,PCT-XO-044,PCT-24-XO-017
PCT-XO-07,PCT-XO-007,PCT-23-XO-4-602/206-003
PCT-XO-70,PCT-XO-070,PCT-24-XO-206-2F/4M-001
PCT-XO-06,PCT-XO-006,PCT-23-XO-4-602/206-002
PCT-XO-04,PCT-XO-004,PCT-23-XO-4/6-206-002
PCT-XO-05,PCT-XO-005,PCT-23-XO-4-602/206-001
PCT-CAP-04,PCT-CAP-004,PCT-23-6206-C-002
PCT-CAP-10,PCT-CAP-010,PCT-24-31502-C-002
PCT-XO-09,PCT-XO-099,PCT-23-XO-4-602/206-005
PCT-XO-46,PCT-XO-046,PCT-24-XO-019
PCT-XO-50,PCT-XO-050,PCT-24-XO-023
PCT-XO-64,PCT-XO-064,PCT-24-XO-037
PCT-PLG-13,PCT-PLG-013,PCT-24-4206-P-003
PCT-PLG-09,PCT-PLG-009,PCT-24-31502-P-001
PCT-XO-73,PCT-XO-073,PCT-24-X0-3F-10/15-001
PCT-TEE-23,PCT-TEE-023,PCT-23-21502-T2-004
PCT-CAP-07,PCT-CAP-007,PCT-23-21502-C-001
PCT-TEE-21,PCT-TEE-021,PCT-23-21502-T2-002
PCT-XO-30,PCT-XO-030,PCT-23-XO-3F/2T-003
PCT-PLG-02,PCT-PLG-002,PCT-24-4206-P-002
PCT-CAP-13,PCT-CAP-013,PCT-24-4206-C-003
PCT-TEE-02,PCT-TEE-002,PCT-24-4206-T1-002
PCT-CAP-03,PCT-CAP-003,PCT-23-6206-C-001
PCT-TEE-10,PCT-TEE-010,PCT-24-4206-T2-004
PCT-TEE-11,PCT-TEE-011,PCT-24-4206-T2-005
PCT-TEE-03,PCT-TEE-003,PCT-24-4206-T1-003
PCT-TEE-12,PCT-TEE-012,PCT-24-4206-T2-006
PCT-XO-55,PCT-XO-055,PCT-24-XO-028
PCT-TEE-09,PCT-TEE-009,PCT-24-4206-T2-003
PCT-TEE-08,PCT-TEE-008,PCT-24-4206-T2-002
PCT-TEE-07,PCT-TEE-007,PCT-24-4206-T2-001
PCT-XO-12,PCT-XO-012,PCT-23-XO-4-206/602-003
PCT-XO-10,PCT-XO-010,PCT-23-XO-4-206/602-001
PCT-XO-75,PCT-XO-075,OV2137
PCT-XO-16,PCT-XO-016,PCT-23-XO-3/2-1502-001
PCT-XO-29,PCT-XO-029,PCT-23-XO-2F/2T-003
PCT-XO-39,PCT-XO-039,PCT-24-XO-012
PCT-XO-77,PCT-XO-077,75KM3920
PCT-PLG-01,PCT-PLG-001,PCT-24-4206-P-001
PCT-CAP-01,PCT-CAP-001,PCT-24-4206-C-001
PCT-XO-11,PCT-XO-011,PCT-23-XO-4-206/602-002
PCT-CAP-02,PCT-CAP-002,PCT-24-4206-C-002
PCT-XO-08,PCT-XO-008,PCT-23-XO-4-602/206-004