,#,,PRODUCTO,SERIAL,EQUIPO / ACTIVO,OBSERVACIONES
,001,,TEE (HXMXM),PCT-24-4206-T1-001,PCT-TEE-001,
,002,,TEE (HXMXM),PCT-24-4206-T1-002,PCT-TEE-002,
,003,,TEE (HXMXM),PCT-24-4206-T1-003,PCT-TEE-003,
,004,,TEE (HXMXM),PCT-24-4206-T1-004,PCT-TEE-004,
,005,,TEE (HXMXM),PCT-24-4206-T1-005,PCT-TEE-005,
,006,,TEE (HXMXM),PCT-24-4206-T1-006,PCT-TEE-006,
,007,,TEE (HXMXH),PCT-24-4206-T2-001,PCT-TEE-007,
,008,,TEE (HXMXH),PCT-24-4206-T2-002,PCT-TEE-008,
,009,,TEE (HXMXH),PCT-24-4206-T2-003,PCT-TEE-009,
,010,,TEE (HXMXH),PCT-24-4206-T2-004,PCT-TEE-010,
,011,,TEE (HXMXH),PCT-24-4206-T2-005,PCT-TEE-011,
,012,,TEE (HXMXH),PCT-24-4206-T2-006,PCT-TEE-012,
,043,,TEE (HXHXM),25322-285,PCT-TEE-043,
,044,,TEE (HXHXM),25322-286,PCT-TEE-044,
,045,,TEE (HXHXM),25322-287,PCT-TEE-045,
,046,,TEE (HXHXM),25322-288,PCT-TEE-046,
,047,,TEE (HXHXM),25322-289,PCT-TEE-047,
,048,,TEE (HXHXM),25322-290,PCT-TEE-048,
,013,,TEE (HXMXM),PCT-23-21502-T1-001,PCT-TEE-013,
,014,,TEE (HXMXM),PCT-23-21502-T1-002,PCT-TEE-014,
,015,,TEE (HXMXM),PCT-23-21502-T1-003,PCT-TEE-015,
,016,,TEE (HXMXM),PCT-23-21502-T1-004,PCT-TEE-016,
,017,,TEE (HXMXM),PCT-23-21502-T1-005,PCT-TEE-017,
,018,,TEE (HXMXM),PCT-24-21502-T1-001,PCT-TEE-018,
,019,,TEE (HXMXM),PCT-24-21502-T1-002,PCT-TEE-019,
,020,,TEE (HXMXH),PCT-23-21502-T2-001,PCT-TEE-020,
,021,,TEE (HXMXH),PCT-23-21502-T2-002,PCT-TEE-021,
,022,,TEE (HXMXH),PCT-23-21502-T2-003,PCT-TEE-022,
,023,,TEE (HXMXH),PCT-23-21502-T2-004,PCT-TEE-023,
,024,,TEE (HXMXH),PCT-23-21502-T2-005,PCT-TEE-024,
,025,,TEE (HXMXH),PCT-24-21502-T2-001,PCT-TEE-025,
,026,,TEE (HXMXH),PCT-24-21502-T2-002,PCT-TEE-026,
,027,,TEE (HXMXM),1504STF,PCT-TEE-027,
,028,,TEE (HXMXH),25322-270,PCT-TEE-028,
,029,,TEE (HXMXH),25322-271,PCT-TEE-029,
,030,,TEE (HXMXH),25322-272,PCT-TEE-030,
,031,,TEE (HXMXH),25322-273,PCT-TEE-031,
,032,,TEE (HXMXH),25322-274,PCT-TEE-032,
,033,,TEE (HXMXH),25322-275,PCT-TEE-033,
,034,,TEE (HXMXM),25322-276,PCT-TEE-034,
,035,,TEE (HXMXM),25322-277,PCT-TEE-035,
,036,,TEE (HXMXM),25322-278,PCT-TEE-036,
,037,,TEE (HXMXM),25322-279,PCT-TEE-037,
,038,,TEE (HXMXM),25322-280,PCT-TEE-038,
,039,,TEE (HXMXM),25322-281,PCT-TEE-039,
,040,,TEE (HXHXM),25322-282,PCT-TEE-040,
,041,,TEE (HXHXM),25322-283,PCT-TEE-041,
,042,,TEE (HXHXM),25322-284,PCT-TEE-042,