#,PRODUCTO,SERIAL,ACTIVO,INSERTOS Y ANILLO RETENEDOR,,,,,
340,90,PCT-24-31502-90-004,PCT-90-086,SI,,,,,
341,90,PCT-24-31502-90-005,PCT-90-087,SI,,,,,
342,90,PCT-24-31502-90-006,PCT-90-088,SI,,,,,
343,90,PCT-24-31502-90-007,PCT-90-089,SI,,,,,
344,90,PCT-24-31502-90-008,PCT-90-090,SI,,,,,
345,90,PCT-24-31502-90-010,PCT-90-092,SI,,,,,
346,90,PCT-24-31502-90-011,PCT-90-093,SI,,,,,
347,90,PCT-24-31502-90-012,PCT-90-094,SI,,,,,
348,90,PCT-24-31502-90-013,PCT-90-095,SI,,,,,
349,90,PCT-24-31502-90-014,PCT-90-096,SI,,,,,
350,90,PCT-24-31502-90-015,PCT-90-097,SI,,,,,
351,90,PCT-24-31502-90-016,PCT-90-098,SI,,,,,
352,90,PCT-24-31502-90-017,PCT-90-099,SI,,,,,
353,90,PCT-24-31502-90-018,PCT-90-100,SI,,,,,
354,90,PCT-24-31502-90-019,PCT-90-101,SI,,,,,
355,90,PCT-24-31502-90-020,PCT-90-102,SI,,,,,
356,45,PCT-24-31502-45-001,PCT-45-053,SI,,,,,
357,45,PCT-24-31502-45-002,PCT-45-054,SI,,,,,
358,45,PCT-24-31502-45-003,PCT-45-055,SI,,,,,
359,45,PCT-24-31502-45-004,PCT-45-056,SI,,,,,
360,45,PCT-24-31502-45-005,PCT-45-057,SI,,,,,
361,45,PCT-24-31502-45-006,PCT-45-058,SI,,,,,
362,45,PCT-24-31502-45-007,PCT-45-059,SI,,,,,
363,45,PCT-24-31502-45-008,PCT-45-060,SI,,,,,
364,45,PCT-24-31502-45-009,PCT-45-061,SI,,,,,
365,45,PCT-24-31502-45-010,PCT-45-062,SI,,,,,
366,TAPON,PCT-24-31502-P-001,PCT-PLG-009,NO,,,,,
367,TAPON,PCT-24-31502-P-002,PCT-PLG-010,NO,,,,,
368,TAPA,PCT-24-31502-C-001,PCT-CAP-009,NO,,,,,
369,TAPA,PCT-24-31502-C-002,PCT-CAP-010,NO,,,,,
370,TUBO,EBS-21502-DJ-SS-10-1,PCT-PUP-0494,SI,,,,,
371,TUBO,EBS-21502-DJ-SS-10-3,PCT-PUP-0495,SI,,,,,
372,TUBO,EBS-21502-DJ-SS-10-4,PCT-PUP-0496,SI,,,,,
373,TUBO,EBS-21502-DJ-SS-10-7,PCT-PUP-0497,SI,,,,,
374,TUBO,EBS-21502-DJ-SS-10-8,PCT-PUP-0498,SI,,,,,
375,TUBO,EBS-21502-DJ-SS-10-9,PCT-PUP-0499,SI,,,,,
376,TUBO,EBS-21502-DJ-SS-10-10,PCT-PUP-0500,SI,,,,,
377,TAPON,PCT-24-21502-P-001,PCT-PLG-011,NO,,,,,
378,TAPON,PCT-24-21502-P-002,PCT-PLG-012,NO,,,,,
379,TAPA,PCT-24-21502-C-001,PCT-CAP-011,NO,,,,,
380,TAPA,PCT-24-21502-C-002,PCT-CAP-012,NO,,,,,
381,90I,25322-195,PCT-90-203,SI,,,,,
382,90I,25322-196,PCT-90-204,SI,,,,,
383,90I,25322-197,PCT-90-205,SI,,,,,
384,90I,25322-198,PCT-90-206,SI,,,,,
385,90I,25322-199,PCT-90-207,SI,,,,,
386,90I,25322-200,PCT-90-208,SI,,,,,
387,90I,25322-201,PCT-90-209,SI,,,,,
388,90I,25322-202,PCT-90-210,SI,,,,,
389,90I,25322-203,PCT-90-211,SI,,,,,
390,90I,25322-204,PCT-90-212,SI,,,,,
391,90I,25322-205,PCT-90-213,SI,,,,,
392,90I,25322-206,PCT-90-214,SI,,,,,
393,90I,25322-207,PCT-90-215,SI,,,,,
394,90I,25322-208,PCT-90-216,SI,,,,,
395,90I,25322-209,PCT-90-217,SI,,,,,
396,90I,25322-210,PCT-90-218,SI,,,,,
397,90I,25322-211,PCT-90-219,SI,,,,,
398,90I,25322-212,PCT-90-220,SI,,,,,
399,90I,25322-213,PCT-90-221,SI,,,,,
400,90I,25322-214,PCT-90-222,SI,,,,,
401,90I,25322-215,PCT-90-223,SI,,,,,
402,90I,25322-216,PCT-90-224,SI,,,,,
403,90I,25322-217,PCT-90-225,SI,,,,,
404,90I,25322-218,PCT-90-226,SI,,,,,
405,90I,25322-219,PCT-90-227,SI,,,,,
406,90I,25322-220,PCT-90-228,SI,,,,,
407,90I,25322-221,PCT-90-229,SI,,,,,
408,90I,25322-222,PCT-90-230,SI,,,,,
409,90I,25322-223,PCT-90-231,SI,,,,,
410,90I,25322-224,PCT-90-232,SI,,,,,
411,90,25322-225,PCT-90-233,SI,,,,,
412,90,25322-226,PCT-90-234,SI,,,,,
413,90,25322-227,PCT-90-235,SI,,,,,
414,90,25322-228,PCT-90-236,SI,,,,,
415,90,25322-229,PCT-90-237,SI,,,,,
416,90,25322-230,PCT-90-238,SI,,,,,
417,90,25322-231,PCT-90-239,SI,,,,,
418,90,25322-232,PCT-90-240,SI,,,,,
419,90,25322-233,PCT-90-241,SI,,,,,
420,90,25322-234,PCT-90-242,SI,,,,,
421,90,25322-235,PCT-90-243,SI,,,,,
422,90,25322-236,PCT-90-244,SI,,,,,
423,90,25322-237,PCT-90-245,SI,,,,,
424,90,25322-238,PCT-90-246,SI,,,,,
425,90,25322-239,PCT-90-247,SI,,,,,
426,90,25322-240,PCT-90-248,SI,,,,,
427,90,25322-241,PCT-90-249,SI,,,,,
428,90,25322-242,PCT-90-250,SI,,,,,
429,90,25322-243,PCT-90-251,SI,,,,,
430,90,25322-244,PCT-90-252,SI,,,,,
431,90,25322-245,PCT-90-253,SI,,,,,
432,90,25322-246,PCT-90-254,SI,,,,,
433,90,25322-247,PCT-90-255,SI,,,,,
434,90,25322-248,PCT-90-256,SI,,,,,
435,90,25322-249,PCT-90-257,SI,,,,,
436,90,25322-250,PCT-90-258,SI,,,,,
437,90,25322-251,PCT-90-259,SI,,,,,
438,90,25322-252,PCT-90-260,SI,,,,,
439,90,25322-253,PCT-90-261,SI,,,,,
440,90,25322-254,PCT-90-262,SI,,,,,
441,TAPON,25322-317,PCT-PLG-028,NO,,,,,
442,TAPON,25322-318,PCT-PLG-029,NO,,,,,
443,TAPON,25322-319,PCT-PLG-030,NO,,,,,
444,TAPA,25322-320,PCT-CAP-028,NO,,,,,
445,TAPA,25322-321,PCT-CAP-029,NO,,,,,
446,TAPA,25322-322,PCT-CAP-030,NO,,,,,
,,TUBERIA 1002,,,,,,,
447,TEE 2 (HXMXH O MXHXH),1504STF,PCT-TEE-027,SI,,,,,
448,TAPON,25322-313,PCT-PLG-026,NO,,,,,
449,TAPA,25322-314,PCT-CAP-026,NO,,,,,
450,TAPON,25322-315,PCT-PLG-027,NO,,,,,
451,TAPA,25322-316,PCT-CAP-027,NO,,,,,
 ,,XOVER,,,,,,,
452,ANSI X ANSI,25322-128,PCT-XO-205,NO,,,,,
453,ANSI X ANSI,25322-179,PCT-XO-256,NO,,,,,
454,ANSI X ANSI,25322-194,PCT-XO-271,NO,,,,,
455,ANSI X H,25322-111,PCT-XO-188,NO,,,,,
456,ANSI X H,25322-113,PCT-XO-190,NO,,,,,
457,ANSI X H,25322-115,PCT-XO-192,NO,,,,,
458,ANSI X H,PCT-24-XO-4-206/150#-003,PCT-XO-067,NO,,,,,
459,ANSI X H,PCT-24-XO-4-206/150#-004,PCT-XO-068,NO,,,,,
460,ANSI X H,25322-139,PCT-XO-216,NO,,,,,
461,ANSI X H,25322-140,PCT-XO-217,NO,,,,,
462,ANSI X H,25322-143,PCT-XO-220,NO,,,,,
463,ANSI X H,25322-144,PCT-XO-221,NO,,,,,
464,ANSI X H,25322-135,PCT-XO-212,NO,,,,,
465,ANSI X H,25322-136,PCT-XO-213,NO,,,,,
466,ANSI X H,25322-147,PCT-XO-224,NO,,,,,
467,ANSI X H,25322-148,PCT-XO-225,NO,,,,,
468,ANSI X H,25322-151,PCT-XO-228,NO,,,,,
469,ANSI X H,25322-152,PCT-XO-229,NO,,,,,
470,ANSI X H,PCT-24-XO-030,PCT-XO-057,NO,,,,,
471,ANSI X H,PCT-24-XO-6-206/150#-003,PCT-XO-023,NO,,,,,
472,ANSI X H,PCT-24-XO-6-206/150#-004,PCT-XO-024,NO,,,,,
473,ANSI X H,25322-187,PCT-XO-264,NO,,,,,
474,ANSI X H,25322-189,PCT-XO-266,NO,,,,,
475,ANSI X H,25322-191,PCT-XO-268,NO,,,,,
476,ANSI X H,PCT-24-XO-031,PCT-XO-058,NO,,,,,
477,ANSI X M,25322-110,PCT-XO-187,NO,,,,,
478,ANSI X M,25322-112,PCT-XO-189,NO,,,,,
479,ANSI X M,25322-114,PCT-XO-191,NO,,,,,
480,ANSI X M,PCT-24-XO-4-206/150#-001,PCT-XO-065,NO,,,,,
481,ANSI X M,PCT-24-XO-4-206/150#-002,PCT-XO-066,NO,,,,,
482,ANSI X M,25322-137,PCT-XO-214,NO,,,,,
483,ANSI X M,25322-138,PCT-XO-215,NO,,,,,
484,ANSI X M,25322-141,PCT-XO-218,NO,,,,,
485,ANSI X M,25322-142,PCT-XO-219,NO,,,,,
486,ANSI X M,25322-133,PCT-XO-210,NO,,,,,
487,ANSI X M,25322-134,PCT-XO-211,NO,,,,,
488,ANSI X M,25322-145,PCT-XO-222,NO,,,,,
489,ANSI X M,25322-146,PCT-XO-223,NO,,,,,
490,ANSI X M,25322-149,PCT-XO-226,NO,,,,,
491,ANSI X M,25322-150,PCT-XO-227,NO,,,,,
492,ANSI X M,PCT-24-XO-6-206/150#-001,PCT-XO-021,NO,,,,,
493,ANSI X M,PCT-24-XO-6-206/150#-002,PCT-XO-022,NO,,,,,
494,ANSI X M,25322-186,PCT-XO-263,NO,,,,,
495,ANSI X M,25322-188,PCT-XO-265,NO,,,,,
496,ANSI X M,25322-190,PCT-XO-267,NO,,,,,
497,API X API,PCT-23-XO-2F/4F-001,PCT-XO-027,NO,,,,,
498,API X API,01507267,PCT-XO-074,NO,,,,,
499,API X API,PCT-24-X0-3F-10/15-001,PCT-XO-073,NO,,,,,
500,API X API,PCT-23-XO-3F/4F-002,PCT-XO-031,NO,,,,,
501,API X API,SM190025/01,PCT-XO-295,NO,,,,,
502,API X API,PCT-24-X0-4F-10/15-001,PCT-XO-072,NO,,,,,
503,API X API,PCT-23-XO-7F/4F-001,PCT-XO-034,NO,,,,,
504,API X H,PCT-23-XO-2F/2T-002,PCT-XO-028,NO,,,,,
505,API X H,STR2672D/02,PCT-XO-076,NO,,,,,
506,API X H,PCT-23-XO-2F/2T-003,PCT-XO-029,NO,,,,,
507,API X H,OV2137,PCT-XO-075,NO,,,,,
508,API X H,PCT-23-XO-3F/2T-003,PCT-XO-030,NO,,,,,
509,API X H,PCT-23-XO-3F/4T-001,PCT-XO-026,NO,,,,,
510,API X H,25322-130,PCT-XO-207,NO,,,,,
511,API X H,25322-132,PCT-XO-209,NO,,,,,
512,API X H,25322-125,PCT-XO-202,NO,,,,,
513,API X H,25322-127,PCT-XO-204,NO,,,,,
514,API X H,PCT-24-XO-035,PCT-XO-062,NO,,,,,
515,API X H,PCT-23-XO-4F/3W-001,PCT-XO-015,NO,,,,,
516,API X H,PCT-23-XO-4F/4T-001,PCT-XO-025,NO,,,,,
517,API X H,25322-172,PCT-XO-249,NO,,,,,
518,API X H,25322-174,PCT-XO-251,NO,,,,,
519,API X H,25322-177,PCT-XO-254,NO,,,,,
520,API X H,25322-154,PCT-XO-231,NO,,,,,
521,API X H,25322-176,PCT-XO-253,NO,,,,,
522,API X H,25322-156,PCT-XO-233,NO,,,,,
523,API X H,PCT-24-XO-033,PCT-XO-060,NO,,,,,
524,API X H,PCT-24-XO-7F/2T-001,PCT-XO-037,NO,,,,,
525,API X H,PCT-24-XO-7F/4T-001,PCT-XO-035,NO,,,,,
526,API X M,75KM3920	,PCT-XO-077,SI,,,,,
527,API X M,PCT-24-XO-3F/4W-001,PCT-XO-036,NO,,,,,
528,API X M,25322-129,PCT-XO-206,NO,,,,,
529,API X M,25322-131,PCT-XO-208,SI,,,,,
530,API X M,25322-124,PCT-XO-201,SI,,,,,
531,API X M,25322-126,PCT-XO-203,SI,,,,,
532,API X M,PCT-24-XO-034,PCT-XO-061,SI,,,,,
533,API X M,25322-171,PCT-XO-248,SI,,,,,
534,API X M,25322-173,PCT-XO-250,SI,,,,,
535,API X M,25322-178,PCT-XO-255,SI,,,,,
536,API X M,25322-153,PCT-XO-230,SI,,,,,
537,API X M,25322-175,PCT-XO-252,SI,,,,,
538,API X M,25322-155,PCT-XO-232,SI,,,,,
539,API X M,25322-192,PCT-XO-269,NO,,,,,
540,API X M,25322-193,PCT-XO-270,NO,,,,,
541,API X M,PCT-24-XO-032,PCT-XO-059,SI,,,,,
542,API X M,PCT-24-XO-7F/6W-001,PCT-XO-018,NO,,,,,
543,API X M,PCT-24-XO-7F/6W-002,PCT-XO-019,NO,,,,,
544,H X H,25322-017,PCT-XO-094,NO,,,,,
545,H X H,25322-018,PCT-XO-095,NO,,,,,
546,H X H,25322-019,PCT-XO-096,NO,,,,,
547,H X H,25322-020,PCT-XO-097,NO,,,,,
548,H X H,25322-027,PCT-XO-104,NO,,,,,
549,H X H,25322-028,PCT-XO-105,NO,,,,,
550,H X H,25322-029,PCT-XO-106,NO,,,,,
551,H X H,PCT-24-XO-012,PCT-XO-039,NO,,,,,
552,H X H,PCT-24-XO-013,PCT-XO-040,NO,,,,,
553,H X H,25322-003,PCT-XO-080,NO,,,,,
554,H X H,25322-004,PCT-XO-081,NO,,,,,
555,H X H,PCT-24-XO-016,PCT-XO-043,NO,,,,,
556,H X H,PCT-24-XO-017,PCT-XO-044,NO,,,,,
557,H X H,25322-040,PCT-XO-117,NO,,,,,
558,H X H,25322-041,PCT-XO-118,NO,,,,,
559,H X H,25322-074,PCT-XO-151,NO,,,,,
560,H X H,25322-075,PCT-XO-152,NO,,,,,
561,H X H,25322-168,PCT-XO-245,NO,,,,,
562,H X H,25322-169,PCT-XO-246,NO,,,,,
563,H X H,25322-170,PCT-XO-247,NO,,,,,
564,H X H,PCT-24-XO-022,PCT-XO-049,NO,,,,,
565,H X H,PCT-24-XO-023,PCT-XO-050,NO,,,,,
566,H X H,PCT-24-XO-6206-T/T-001,PCT-XO-020,NO,,,,,
567,M X M,25322-021,PCT-XO-098,SI,,,,,
568,M X M,25322-022,PCT-XO-099,SI,,,,,
569,M X M,25322-023,PCT-XO-100,SI,,,,,
570,M X M,25322-024,PCT-XO-101,SI,,,,,
571,M X M,25322-025,PCT-XO-102,SI,,,,,
572,M X M,25322-026,PCT-XO-103,SI,,,,,
573,M X M,PCT-23-XO-3/2-1502-001,PCT-XO-016,SI,,,,,
574,M X M,PCT-XO-3/2-1502-001,PCT-XO-038,SI,,,,,
575,M X M,PCT-24-XO-014,PCT-XO-041,SI,,,,,
576,M X M,PCT-24-XO-015,PCT-XO-042,SI,,,,,
577,M X M,25322-001,PCT-XO-078,NO,,,,,
578,M X M,25322-002,PCT-XO-079,NO,,,,,
579,M X M,PCT-24-XO-018,PCT-XO-045,SI,,,,,
580,M X M,PCT-24-XO-019,PCT-XO-046,SI,,,,,
581,M X M,25322-038,PCT-XO-115,NO,,,,,
582,M X M,25322-039,PCT-XO-116,NO,,,,,
583,M X M,25322-072,PCT-XO-149,SI,,,,,
584,M X M,25322-073,PCT-XO-150,SI,,,,,
585,M X M,25322-165,PCT-XO-242,SI,,,,,
586,M X M,25322-166,PCT-XO-243,SI,,,,,
587,M X M,25322-167,PCT-XO-244,SI,,,,,
588,M X M,PCT-24-XO-024,PCT-XO-051,SI,,,,,
589,M X M,PCT-24-XO-025,PCT-XO-052,SI,,,,,
590,M X M,25322-184,PCT-XO-261,NO,,,,,
591,M X M,25322-185,PCT-XO-262,NO,,,,,
592,H X M,PCT-23-XO-2/3-1502-001,PCT-XO-017,SI,,,,,
593,H X M,25322-036,PCT-XO-113,SI,,,,,
594,H X M,25322-037,PCT-XO-114,SI,,,,,
595,H X M,25322-032,PCT-XO-109,SI,,,,,
596,H X M,25322-033,PCT-XO-110,SI,,,,,
597,H X M,PCT-24-XO-020,PCT-XO-047,SI,,,,,
598,H X M,PCT-24-XO-021,PCT-XO-048,SI,,,,,
599,H X M,25322-034,PCT-XO-111,SI,,,,,
600,H X M,25322-035,PCT-XO-112,SI,,,,,
601,H X M,25322-030,PCT-XO-107,SI,,,,,
602,H X M,25322-031,PCT-XO-108,SI,,,,,
603,H X M,25322-008,PCT-XO-085,NO,,,,,
604,H X M,25322-009,PCT-XO-086,NO,,,,,
605,H X M,25322-010,PCT-XO-087,NO,,,,,
606,H X M,PCT-24-XO-206-2F/4M-001,PCT-XO-070,NO,,,,,
607,H X M,25322-005,PCT-XO-082,NO,,,,,
608,H X M,25322-006,PCT-XO-083,NO,,,,,
609,H X M,25322-007,PCT-XO-084,NO,,,,,
610,H X M,25322-014,PCT-XO-091,SI,,,,,
611,H X M,25322-015,PCT-XO-092,SI,,,,,
612,H X M,25322-016,PCT-XO-093,SI,,,,,
613,H X M,25322-011,PCT-XO-088,SI,,,,,
614,H X M,25322-012,PCT-XO-089,SI,,,,,
615,H X M,25322-013,PCT-XO-090,SI,,,,,
616,H X M,25322-116,PCT-XO-193,SI,,,,,
617,H X M,25322-117,PCT-XO-194,SI,,,,,
618,H X M,25322-118,PCT-XO-195,SI,,,,,
619,H X M,25322-119,PCT-XO-196,SI,,,,,
620,H X M,25322-101,PCT-XO-178,NO,,,,,
621,H X M,25322-102,PCT-XO-179,NO,,,,,
622,H X M,25322-103,PCT-XO-180,NO,,,,,
623,H X M,25322-104,PCT-XO-181,NO,,,,,
624,H X M,25322-105,PCT-XO-182,NO,,,,,
625,H X M,25322-108,PCT-XO-185,SI,,,,,
626,H X M,25322-109,PCT-XO-186,SI,,,,,
627,H X M,PCT-24-XO-028,PCT-XO-055,SI,,,,,
628,H X M,PCT-24-XO-029,PCT-XO-056,SI,,,,,
629,H X M,2572,PCT-XO-032,SI,,,,,
630,H X M,PENDIENTE,PCT-XO-033,SI,,,,,
631,H X M,25322-120,PCT-XO-197,SI,,,,,
632,H X M,25322-121,PCT-XO-198,SI,,,,,
633,H X M,25322-122,PCT-XO-199,SI,,,,,
634,H X M,25322-123,PCT-XO-200,SI,,,,,
635,H X M,25322-096,PCT-XO-173,SI,,,,,
636,H X M,25322-097,PCT-XO-174,SI,,,,,
637,H X M,25322-098,PCT-XO-175,SI,,,,,
638,H X M,25322-099,PCT-XO-176,SI,,,,,
639,H X M,25322-100,PCT-XO-177,SI,,,,,
640,H X M,25322-106,PCT-XO-183,SI,,,,,
641,H X M,25322-107,PCT-XO-184,SI,,,,,
642,H X M,25322-047,PCT-XO-124,SI,,,,,
643,H X M,25322-048,PCT-XO-125,SI,,,,,
644,H X M,25322-049,PCT-XO-126,SI,,,,,
645,H X M,25322-050,PCT-XO-127,SI,,,,,
646,H X M,25322-051,PCT-XO-128,SI,,,,,
647,H X M,25322-062,PCT-XO-139,NO,,,,,
648,H X M,25322-063,PCT-XO-140,NO,,,,,
649,H X M,25322-064,PCT-XO-141,NO,,,,,
650,H X M,25322-065,PCT-XO-142,NO,,,,,
651,H X M,25322-066,PCT-XO-143,NO,,,,,
652,H X M,25322-067,PCT-XO-144,NO,,,,,
653,H X M,25322-068,PCT-XO-145,NO,,,,,
654,H X M,25322-069,PCT-XO-146,NO,,,,,
655,H X M,25322-070,PCT-XO-147,NO,,,,,
656,H X M,25322-071,PCT-XO-148,NO,,,,,
657,H X M,25322-042,PCT-XO-119,NO,,,,,
658,H X M,25322-043,PCT-XO-120,NO,,,,,
659,H X M,25322-044,PCT-XO-121,NO,,,,,
660,H X M,25322-045,PCT-XO-122,NO,,,,,
661,H X M,25322-046,PCT-XO-123,NO,,,,,
662,H X M,25322-052,PCT-XO-129,NO,,,,,
663,H X M,25322-053,PCT-XO-130,NO,,,,,
664,H X M,25322-054,PCT-XO-131,NO,,,,,
665,H X M,25322-055,PCT-XO-132,NO,,,,,
666,H X M,25322-056,PCT-XO-133,NO,,,,,
667,H X M,25322-057,PCT-XO-134,NO,,,,,
668,H X M,25322-058,PCT-XO-135,NO,,,,,
669,H X M,25322-059,PCT-XO-136,NO,,,,,
670,H X M,25322-060,PCT-XO-137,NO,,,,,
671,H X M,25322-061,PCT-XO-138,NO,,,,,
672,H X M,25322-081,PCT-XO-158,NO,,,,,
673,H X M,25322-082,PCT-XO-159,NO,,,,,
674,H X M,25322-083,PCT-XO-160,NO,,,,,
675,H X M,25322-084,PCT-XO-161,NO,,,,,
676,H X M,25322-085,PCT-XO-162,NO,,,,,
677,H X M,25322-091,PCT-XO-168,SI,,,,,
678,H X M,25322-092,PCT-XO-169,SI,,,,,
679,H X M,25322-093,PCT-XO-170,SI,,,,,
680,H X M,25322-094,PCT-XO-171,SI,,,,,
681,H X M,25322-095,PCT-XO-172,SI,,,,,
682,H X M,25322-076,PCT-XO-153,SI,,,,,
683,H X M,25322-077,PCT-XO-154,SI,,,,,
684,H X M,25322-078,PCT-XO-155,SI,,,,,
685,H X M,25322-079,PCT-XO-156,SI,,,,,
686,H X M,25322-080,PCT-XO-157,SI,,,,,
687,H X M,25322-086,PCT-XO-163,SI,,,,,
688,H X M,25322-087,PCT-XO-164,SI,,,,,
689,H X M,25322-088,PCT-XO-165,SI,,,,,
690,H X M,25322-089,PCT-XO-166,SI,,,,,
691,H X M,25322-090,PCT-XO-167,SI,,,,,
692,H X M,25322-180,PCT-XO-257,SI,,,,,
693,H X M,25322-181,PCT-XO-258,SI,,,,,
694,H X M,25322-182,PCT-XO-259,SI,,,,,
695,H X M,25322-183,PCT-XO-260,SI,,,,,
696,H X M,PCT-24-XO-21502/4206-002,PCT-XO-071,SI,,,,,
697,H X M,PCT-23-XO-4-602/206-001,PCT-XO-005,SI,,,,,
698,H X M,PCT-23-XO-4-602/206-002,PCT-XO-006,SI,,,,,
699,H X M,PCT-23-XO-4-602/206-003,PCT-XO-007,SI,,,,,
700,H X M,PCT-23-XO-4-602/206-004,PCT-XO-008,SI,,,,,
701,H X M,PCT-23-XO-4-602/206-005,PCT-XO-009,SI,,,,,
702,H X M,PCT-23-XO-6/4-206-001,PCT-XO-001,NO,,,,,
703,H X M,PCT-23-XO-6/4-206-002,PCT-XO-002,NO,,,,,
704,H X M,PCT-24-XO-21502/4206-001,PCT-XO-069,NO,,,,,
705,H X M,PCT-23-XO-4-206/602-001,PCT-XO-010,NO,,,,,
706,H X M,PCT-23-XO-4-206/602-002,PCT-XO-011,NO,,,,,
707,H X M,PCT-23-XO-4-206/602-003,PCT-XO-012,NO,,,,,
708,H X M,PCT-23-XO-4-206/602-004,PCT-XO-013,NO,,,,,
709,H X M,PCT-23-XO-4-206/602-005,PCT-XO-014,NO,,,,,
710,H X M,PCT-23-XO-4/6-206-001,PCT-XO-003,NO,,,,,
711,H X M,PCT-23-XO-4/6-206-002,PCT-XO-004,NO,,,,,
712,H X M,PCT-24-XO-036,PCT-XO-063,SI,,,,,
713,H X M,25322-161,PCT-XO-238,SI,,,,,
714,H X M,25322-162,PCT-XO-239,SI,,,,,
715,H X M,25322-163,PCT-XO-240,SI,,,,,
716,H X M,25322-164,PCT-XO-241,SI,,,,,
717,H X M,PCT-24-XO-026,PCT-XO-053,SI,,,,,
718,H X M,PCT-24-XO-027,PCT-XO-054,SI,,,,,
719,H X M,PCT-24-XO-037,PCT-XO-064,SI,,,,,
720,H X M,25322-157,PCT-XO-234,SI,,,,,
721,H X M,25322-158,PCT-XO-235,SI,,,,,
722,H X M,25322-159,PCT-XO-236,SI,,,,,
723,H X M,25322-160,PCT-XO-237,SI,,,,,
724,,,,,,,,,
725,,,,,,,,,
726,,,,,,,,,
727,,,,,,,,,
728,,,,,,,,,
729,,,,,,,,,
730,,,,,,,,,